Theta,	Phi,	Horizontal Power Gain,	Vertical Power Gain,	Total Power Gain,	etheta_magnitude,	etheta_phase,	ephi_magnitude,	ephi_phase
36,	46.8  ,	-32.7167  ,	-6.34912  ,	-6.33911  ,	0.0138098  ,	-35.7113  ,	0.00988754  ,	138.477
43.2,	46.8  ,	-37.3588  ,	-9.10926  ,	-9.10276  ,	0.0112138  ,	-52.9543  ,	0.0051882  ,	121.228
50.4,	46.8  ,	-44.4014  ,	-12.3996  ,	-12.3969  ,	0.00842117  ,	-72.9359  ,	0.00076644  ,	90.9205
57.6,	46.8  ,	-46.0304  ,	-15.0623  ,	-15.0588  ,	0.00569296  ,	-96.1385  ,	0.00251559  ,	-91.7537
64.8,	46.8  ,	-42.7595  ,	-16.9574  ,	-16.946  ,	0.00331788  ,	-124.799  ,	0.00375193  ,	-118.884
72,	46.8  ,	-48.5402  ,	-20.8634  ,	-20.856  ,	0.00163466  ,	-167.569  ,	0.00274294  ,	-162.187
79.2,	46.8  ,	-34.7466  ,	-20.7069  ,	-20.5389  ,	0.00102771  ,	128.968  ,	0.00314832  ,	88.5972
86.4,	46.8  ,	-32.527  ,	-12.2724  ,	-12.2317  ,	0.000920965  ,	103.045  ,	0.00856905  ,	38.1584
93.6,	46.8  ,	-30.1799  ,	-7.31298  ,	-7.29059  ,	0.00143027  ,	140.485  ,	0.0151549  ,	10.3516
100.8,	46.8  ,	-27.8586  ,	-4.39863  ,	-4.3791  ,	0.00407961  ,	146.371  ,	0.0208894  ,	-12.816
108,	46.8  ,	-26.5474  ,	-2.82296  ,	-2.80458  ,	0.00887295  ,	134.583  ,	0.0239215  ,	-33.9439
115.2,	46.8  ,	-27.3661  ,	-2.1101  ,	-2.09717  ,	0.0159715  ,	119.785  ,	0.0226062  ,	-53.5815
122.4,	46.8  ,	-33.0162  ,	-1.41411  ,	-1.41111  ,	0.0254321  ,	104.844  ,	0.0158255  ,	-71.7977
129.6,	46.8  ,	-61.263  ,	0.457643  ,	0.457646  ,	0.0369983  ,	90.6366  ,	0.00328884  ,	-88.8305
136.8,	46.8  ,	-46.3527  ,	3.38701  ,	3.38706  ,	0.0500383  ,	77.5952  ,	0.0143051  ,	76.8888
144,	46.8  ,	-29.4257  ,	6.29486  ,	6.29602  ,	0.0635982  ,	66.024  ,	0.0353169  ,	63.8145
151.2,	46.8  ,	-22.4865  ,	8.67508  ,	8.6784  ,	0.0765517  ,	56.177  ,	0.0574374  ,	52.8759
158.4,	46.8  ,	-18.5756  ,	10.4551  ,	10.4605  ,	0.0877885  ,	48.2756  ,	0.0780975  ,	44.198
165.6,	46.8  ,	-16.2641  ,	11.6755  ,	11.6825  ,	0.0963724  ,	42.5078  ,	0.0948934  ,	37.9159
172.8,	46.8  ,	-15.0202  ,	12.3859  ,	12.3938  ,	0.101632  ,	39.0217  ,	0.105917  ,	34.1357
180,	46.8  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.103186  ,	37.9172  ,	0.109949  ,	32.9226
187.2,	46.8  ,	-14.9238  ,	12.3838  ,	12.3919  ,	0.100932  ,	39.2385  ,	0.10654  ,	34.2938
194.4,	46.8  ,	-15.9681  ,	11.6664  ,	11.6739  ,	0.0950456  ,	42.9688  ,	0.0960326  ,	38.2132
201.6,	46.8  ,	-17.8264  ,	10.4278  ,	10.4342  ,	0.0859864  ,	49.0299  ,	0.0795558  ,	44.5882
208.8,	46.8  ,	-20.7052  ,	8.60994  ,	8.61502  ,	0.0745003  ,	57.2849  ,	0.0589596  ,	53.2575
216,	46.8  ,	-24.9622  ,	6.16077  ,	6.16413  ,	0.0615729  ,	67.5433  ,	0.0366399  ,	63.9208
223.2,	46.8  ,	-30.6635  ,	3.15028  ,	3.15209  ,	0.0483133  ,	79.5665  ,	0.0152199  ,	75.4892
230.4,	46.8  ,	-33.5956  ,	0.161625  ,	0.163453  ,	0.0357801  ,	93.0693  ,	0.00301933  ,	-72.7621
237.6,	46.8  ,	-29.5428  ,	-1.54168  ,	-1.5348  ,	0.024802  ,	107.711  ,	0.0160282  ,	-67.2878
244.8,	46.8  ,	-26.5138  ,	-1.96672  ,	-1.9515  ,	0.0158615  ,	123.036  ,	0.0232524  ,	-49.6777
252,	46.8  ,	-25.9631  ,	-2.50566  ,	-2.48611  ,	0.00908404  ,	138.217  ,	0.0248592  ,	-29.8124
259.2,	46.8  ,	-27.0776  ,	-3.96564  ,	-3.94448  ,	0.004339  ,	150.686  ,	0.0219514  ,	-7.86969
266.4,	46.8  ,	-29.6459  ,	-6.73213  ,	-6.70998  ,	0.00147743  ,	145.202  ,	0.0162074  ,	17.0952
273.6,	46.8  ,	-34.8863  ,	-11.2709  ,	-11.252  ,	0.00102412  ,	87.6064  ,	0.00959282  ,	49.1367
280.8,	46.8  ,	-43.7983  ,	-17.3334  ,	-17.3236  ,	0.00134568  ,	96.8983  ,	0.00460277  ,	107.034
288,	46.8  ,	-32.105  ,	-17.3946  ,	-17.2502  ,	0.00141979  ,	151.044  ,	0.00462305  ,	-169.632
295.2,	46.8  ,	-32.9324  ,	-14.8312  ,	-14.7645  ,	0.00251952  ,	-146.6  ,	0.00592506  ,	-126.706
302.4,	46.8  ,	-34.623  ,	-13.8983  ,	-13.8617  ,	0.00478329  ,	-109.926  ,	0.00530587  ,	-99.3564
309.6,	46.8  ,	-40.3439  ,	-12.8036  ,	-12.796  ,	0.00761793  ,	-84.4931  ,	0.00268203  ,	-76.8059
316.8,	46.8  ,	-54.3222  ,	-10.3871  ,	-10.3869  ,	0.0105763  ,	-63.7367  ,	0.00131446  ,	119.24
324,	46.8  ,	-40.3497  ,	-7.68827  ,	-7.68592  ,	0.0133042  ,	-45.8461  ,	0.00587827  ,	137.762
331.2,	46.8  ,	-37.9557  ,	-5.51841  ,	-5.51594  ,	0.0155702  ,	-30.3665  ,	0.0103076  ,	152.606
338.4,	46.8  ,	-38.6401  ,	-3.96514  ,	-3.96366  ,	0.0172867  ,	-17.3586  ,	0.0141299  ,	164.8
345.6,	46.8  ,	-42.9706  ,	-2.91872  ,	-2.91829  ,	0.0184773  ,	-7.14646  ,	0.0171095  ,	173.996
352.8,	46.8  ,	-64.359  ,	-2.27087  ,	-2.27087  ,	0.0192061  ,	-0.170203  ,	0.0191629  ,	179.74
0,	50.4  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.0182043  ,	3.27164  ,	0.0214449  ,	-178.237
7.2,	50.4  ,	-34.0012  ,	-1.97022  ,	-1.9675  ,	0.0180597  ,	2.84991  ,	0.021522  ,	179.938
14.4,	50.4  ,	-31.1306  ,	-2.34729  ,	-2.34155  ,	0.0174701  ,	-1.43513  ,	0.0204695  ,	174.346
21.6,	50.4  ,	-30.0107  ,	-3.16417  ,	-3.1552  ,	0.0163913  ,	-9.3974  ,	0.0182155  ,	165.367
28.8,	50.4  ,	-30.4237  ,	-4.54555  ,	-4.53435  ,	0.0148067  ,	-20.7355  ,	0.0147602  ,	153.445
36,	50.4  ,	-32.4731  ,	-6.65759  ,	-6.64622  ,	0.0127564  ,	-35.1238  ,	0.0102982  ,	138.88
43.2,	50.4  ,	-36.5209  ,	-9.62647  ,	-9.6176  ,	0.0103543  ,	-52.297  ,	0.00532798  ,	121.335
50.4,	50.4  ,	-42.5198  ,	-13.0861  ,	-13.0812  ,	0.00778473  ,	-72.17  ,	0.000691192  ,	85.3279
57.6,	50.4  ,	-45.3058  ,	-15.4449  ,	-15.4404  ,	0.00527914  ,	-95.1589  ,	0.00275867  ,	-90.6737
64.8,	50.4  ,	-44.222  ,	-16.8498  ,	-16.8419  ,	0.00309373  ,	-123.377  ,	0.00401532  ,	-118.308
72,	50.4  ,	-54.7332  ,	-20.575  ,	-20.5733  ,	0.00153446  ,	-165.214  ,	0.00292007  ,	-162.487
79.2,	50.4  ,	-34.6675  ,	-20.0298  ,	-19.8831  ,	0.000970562  ,	132.357  ,	0.00343714  ,	89.0914
86.4,	50.4  ,	-32.2979  ,	-11.6446  ,	-11.6074  ,	0.000926727  ,	106.555  ,	0.00921414  ,	39.0946
93.6,	50.4  ,	-29.5226  ,	-6.73269  ,	-6.7099  ,	0.00145268  ,	136.987  ,	0.0162098  ,	11.2329
100.8,	50.4  ,	-26.8752  ,	-3.8708  ,	-3.84911  ,	0.00388025  ,	143.401  ,	0.0222879  ,	-11.9751
108,	50.4  ,	-25.1885  ,	-2.3969  ,	-2.37413  ,	0.00832498  ,	132.748  ,	0.0254851  ,	-33.1063
115.2,	50.4  ,	-25.2763  ,	-1.91898  ,	-1.89898  ,	0.0149352  ,	118.631  ,	0.0240591  ,	-52.6887
122.4,	50.4  ,	-29.0512  ,	-1.66497  ,	-1.65705  ,	0.02376  ,	104.13  ,	0.0168316  ,	-70.6823
129.6,	50.4  ,	-41.7705  ,	-0.125546  ,	-0.125248  ,	0.0345557  ,	90.232  ,	0.00350851  ,	-85.0453
136.8,	50.4  ,	-43.903  ,	2.88599  ,	2.88608  ,	0.0467262  ,	77.4187  ,	0.0151674  ,	76.5257
144,	50.4  ,	-29.5966  ,	5.98397  ,	5.98517  ,	0.059374  ,	66.0207  ,	0.0374325  ,	63.9084
151.2,	50.4  ,	-22.6228  ,	8.5041  ,	8.50745  ,	0.0714427  ,	56.3059  ,	0.060841  ,	53.0828
158.4,	50.4  ,	-18.6468  ,	10.371  ,	10.3765  ,	0.081894  ,	48.5031  ,	0.082673  ,	44.4471
165.6,	50.4  ,	-16.2924  ,	11.6423  ,	11.6492  ,	0.0898567  ,	42.8046  ,	0.100392  ,	38.1823
172.8,	50.4  ,	-15.0255  ,	12.3787  ,	12.3866  ,	0.0947104  ,	39.3612  ,	0.11199  ,	34.4094
180,	50.4  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.0961067  ,	38.2755  ,	0.116188  ,	33.2008
187.2,	50.4  ,	-14.9359  ,	12.3739  ,	12.382  ,	0.0939593  ,	39.5945  ,	0.11252  ,	34.5777
194.4,	50.4  ,	-16.011  ,	11.6277  ,	11.6352  ,	0.088439  ,	43.3044  ,	0.101354  ,	38.5071
201.6,	50.4  ,	-17.9243  ,	10.3356  ,	10.3421  ,	0.0799811  ,	49.3295  ,	0.0838904  ,	44.8991
208.8,	50.4  ,	-20.8996  ,	8.42752  ,	8.43259  ,	0.0692842  ,	57.5344  ,	0.0620879  ,	53.5967
216,	50.4  ,	-25.3439  ,	5.83295  ,	5.83626  ,	0.0572664  ,	67.7274  ,	0.0384833  ,	64.3102
223.2,	50.4  ,	-31.3379  ,	2.62264  ,	2.62438  ,	0.0449557  ,	79.6643  ,	0.0158505  ,	76.0012
230.4,	50.4  ,	-33.5713  ,	-0.441649  ,	-0.439537  ,	0.0333284  ,	93.0472  ,	0.00337678  ,	-74.2548
237.6,	50.4  ,	-28.7461  ,	-1.7683  ,	-1.7596  ,	0.0231454  ,	107.51  ,	0.0170981  ,	-67.1241
244.8,	50.4  ,	-25.8999  ,	-1.76825  ,	-1.75151  ,	0.0148472  ,	122.549  ,	0.0246811  ,	-49.3939
252,	50.4  ,	-25.481  ,	-2.11757  ,	-2.0976  ,	0.00854851  ,	137.232  ,	0.0263244  ,	-29.4674
259.2,	50.4  ,	-26.6074  ,	-3.51617  ,	-3.49491  ,	0.0041358  ,	148.726  ,	0.023199  ,	-7.47831
266.4,	50.4  ,	-29.1133  ,	-6.27894  ,	-6.25639  ,	0.00149732  ,	141.925  ,	0.0170816  ,	17.5354
273.6,	50.4  ,	-34.1233  ,	-10.8691  ,	-10.8486  ,	0.00104134  ,	91.587  ,	0.0100522  ,	49.7018
280.8,	50.4  ,	-45.3011  ,	-17.0557  ,	-17.0492  ,	0.00129376  ,	99.7209  ,	0.00477726  ,	108.531
288,	50.4  ,	-32.3767  ,	-16.9211  ,	-16.7992  ,	0.00135582  ,	152.847  ,	0.00491016  ,	-167.4
295.2,	50.4  ,	-32.8053  ,	-14.3985  ,	-14.3363  ,	0.00239739  ,	-145.644  ,	0.00632474  ,	-124.709
302.4,	50.4  ,	-33.1769  ,	-13.7777  ,	-13.7281  ,	0.00453154  ,	-109.427  ,	0.00566495  ,	-96.883
309.6,	50.4  ,	-35.6505  ,	-13.1825  ,	-13.1579  ,	0.00719391  ,	-84.2685  ,	0.00287366  ,	-71.7207
316.8,	50.4  ,	-46.0906  ,	-10.8861  ,	-10.8848  ,	0.00996181  ,	-63.6867  ,	0.00143062  ,	109.225
324,	50.4  ,	-47.2303  ,	-8.02834  ,	-8.02782  ,	0.0125041  ,	-45.8979  ,	0.00626007  ,	135.671
331.2,	50.4  ,	-41.0127  ,	-5.71078  ,	-5.7095  ,	0.0146074  ,	-30.4629  ,	0.0109591  ,	151.587
338.4,	50.4  ,	-40.7613  ,	-4.0622  ,	-4.06128  ,	0.0161935  ,	-17.4536  ,	0.0150058  ,	164.227
345.6,	50.4  ,	-45.0726  ,	-2.95911  ,	-2.95884  ,	0.0172859  ,	-7.20336  ,	0.0181508  ,	173.696
352.8,	50.4  ,	-57.8058  ,	-2.28104  ,	-2.28102  ,	0.0179438  ,	-0.158843  ,	0.0203074  ,	179.648
0,	54  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.0168223  ,	3.3924  ,	0.0225453  ,	-178.161
7.2,	54  ,	-34.226  ,	-1.9784  ,	-1.97581  ,	0.016653  ,	3.08019  ,	0.0225946  ,	-179.848
14.4,	54  ,	-31.3624  ,	-2.3824  ,	-2.37691  ,	0.0160699  ,	-1.08393  ,	0.0214498  ,	174.671
21.6,	54  ,	-30.174  ,	-3.25019  ,	-3.24138  ,	0.0150395  ,	-8.92727  ,	0.0190393  ,	165.768
28.8,	54  ,	-30.4379  ,	-4.71857  ,	-4.70695  ,	0.0135556  ,	-20.1571  ,	0.0153726  ,	153.869
36,	54  ,	-32.19  ,	-6.97822  ,	-6.96516  ,	0.0116624  ,	-34.4438  ,	0.0106647  ,	139.249
43.2,	54  ,	-35.6705  ,	-10.187  ,	-10.1747  ,	0.00946611  ,	-51.5  ,	0.00544676  ,	121.452
50.4,	54  ,	-41.1477  ,	-13.854  ,	-13.8459  ,	0.00712952  ,	-71.1966  ,	0.000623215  ,	79.0109
57.6,	54  ,	-46.0533  ,	-15.8311  ,	-15.8269  ,	0.00485374  ,	-93.8781  ,	0.0029832  ,	-89.9197
64.8,	54  ,	-47.5408  ,	-16.7449  ,	-16.7413  ,	0.0028624  ,	-121.531  ,	0.00425469  ,	-117.962
72,	54  ,	-66.9104  ,	-20.313  ,	-20.3129  ,	0.00142967  ,	-162.325  ,	0.00308382  ,	-163.027
79.2,	54  ,	-34.6289  ,	-19.3941  ,	-19.2659  ,	0.000912308  ,	136.141  ,	0.00372443  ,	89.4865
86.4,	54  ,	-32.0886  ,	-11.0834  ,	-11.0491  ,	0.00093271  ,	109.954  ,	0.00983126  ,	39.9264
93.6,	54  ,	-28.9774  ,	-6.21846  ,	-6.19551  ,	0.00147416  ,	133.666  ,	0.0172046  ,	12.0088
100.8,	54  ,	-26.1252  ,	-3.40127  ,	-3.37813  ,	0.00367944  ,	140.233  ,	0.0235986  ,	-11.2412
108,	54  ,	-24.2137  ,	-2.01056  ,	-1.98449  ,	0.00776044  ,	130.761  ,	0.0269451  ,	-32.3796
115.2,	54  ,	-23.838  ,	-1.73558  ,	-1.70889  ,	0.0138569  ,	117.386  ,	0.0254119  ,	-51.9169
122.4,	54  ,	-26.5026  ,	-1.92436  ,	-1.90926  ,	0.0220095  ,	103.366  ,	0.0177648  ,	-69.7207
129.6,	54  ,	-36.3244  ,	-0.783487  ,	-0.782275  ,	0.031988  ,	89.8035  ,	0.00371436  ,	-81.8129
136.8,	54  ,	-42.4392  ,	2.33275  ,	2.3329  ,	0.0432354  ,	77.2384  ,	0.015983  ,	76.2214
144,	54  ,	-29.8288  ,	5.6569  ,	5.65813  ,	0.0549159  ,	66.0305  ,	0.0394126  ,	63.9967
151.2,	54  ,	-22.7697  ,	8.33035  ,	8.33372  ,	0.0660484  ,	56.4626  ,	0.0640155  ,	53.2693
158.4,	54  ,	-18.7197  ,	10.2874  ,	10.2929  ,	0.0756717  ,	48.771  ,	0.0869317  ,	44.671
165.6,	54  ,	-16.3208  ,	11.6096  ,	11.6166  ,	0.0829831  ,	43.1514  ,	0.105502  ,	38.4218
172.8,	54  ,	-15.0308  ,	12.3717  ,	12.3796  ,	0.0874149  ,	39.7571  ,	0.117625  ,	34.6558
180,	54  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.0886525  ,	38.6926  ,	0.121971  ,	33.4516
187.2,	54  ,	-14.9481  ,	12.3642  ,	12.3723  ,	0.0866248  ,	40.0077  ,	0.118056  ,	34.8339
194.4,	54  ,	-16.0543  ,	11.5898  ,	11.5972  ,	0.0814976  ,	43.6917  ,	0.106277  ,	38.7729
201.6,	54  ,	-18.0233  ,	10.2441  ,	10.2505  ,	0.073679  ,	49.6727  ,	0.0878965  ,	45.182
208.8,	54  ,	-21.0994  ,	8.24277  ,	8.24782  ,	0.0638176  ,	57.8173  ,	0.064977  ,	53.9094
216,	54  ,	-25.7614  ,	5.48948  ,	5.49274  ,	0.0527592  ,	67.9341  ,	0.0401851  ,	64.6801
223.2,	54  ,	-32.2093  ,	2.0419  ,	2.04353  ,	0.0414458  ,	79.7736  ,	0.0164329  ,	76.5317
230.4,	54  ,	-33.8206  ,	-1.11834  ,	-1.11601  ,	0.0307672  ,	93.0246  ,	0.00370123  ,	-75.7148
237.6,	54  ,	-28.2432  ,	-1.99951  ,	-1.98921  ,	0.0214138  ,	107.293  ,	0.0180793  ,	-67.0466
244.8,	54  ,	-25.5254  ,	-1.5844  ,	-1.56691  ,	0.0137842  ,	122.021  ,	0.0259926  ,	-49.1866
252,	54  ,	-25.1645  ,	-1.77247  ,	-1.75263  ,	0.0079842  ,	136.156  ,	0.0276701  ,	-29.1954
259.2,	54  ,	-26.2535  ,	-3.12147  ,	-3.10041  ,	0.00391995  ,	146.602  ,	0.0243462  ,	-7.158
266.4,	54  ,	-28.6639  ,	-5.88083  ,	-5.85801  ,	0.00151491  ,	138.733  ,	0.0178878  ,	17.9039
273.6,	54  ,	-33.4223  ,	-10.5112  ,	-10.489  ,	0.0010582  ,	95.5654  ,	0.0104799  ,	50.1755
280.8,	54  ,	-48.057  ,	-16.8002  ,	-16.7969  ,	0.00123357  ,	103.054  ,	0.00494363  ,	109.739
288,	54  ,	-33  ,	-16.5058  ,	-16.4095  ,	0.00128077  ,	155.496  ,	0.00517141  ,	-165.634
295.2,	54  ,	-33.1957  ,	-14.0178  ,	-13.9656  ,	0.00226956  ,	-143.983  ,	0.00668392  ,	-123.082
302.4,	54  ,	-32.5851  ,	-13.6653  ,	-13.6099  ,	0.00427109  ,	-108.491  ,	0.00598635  ,	-94.8123
309.6,	54  ,	-33.0143  ,	-13.5947  ,	-13.5453  ,	0.00675166  ,	-83.7583  ,	0.00305028  ,	-67.3953
316.8,	54  ,	-38.6346  ,	-11.4381  ,	-11.4298  ,	0.00931679  ,	-63.4457  ,	0.0015926  ,	101.34
324,	54  ,	-60.7378  ,	-8.3865  ,	-8.38647  ,	0.0116611  ,	-45.8223  ,	0.00663771  ,	133.856
331.2,	54  ,	-45.8729  ,	-5.90528  ,	-5.90484  ,	0.0135914  ,	-30.4748  ,	0.0115796  ,	150.69
338.4,	54  ,	-43.6735  ,	-4.15763  ,	-4.15714  ,	0.0150392  ,	-17.4935  ,	0.01583  ,	163.72
345.6,	54  ,	-47.9945  ,	-2.99788  ,	-2.99774  ,	0.0160279  ,	-7.22486  ,	0.0191247  ,	173.43
352.8,	54  ,	-53.9487  ,	-2.29043  ,	-2.2904  ,	0.0166116  ,	-0.124602  ,	0.0213739  ,	179.566
0,	57.6  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.0153741  ,	3.5354  ,	0.0235567  ,	-178.091
7.2,	57.6  ,	-34.4718  ,	-1.98687  ,	-1.98442  ,	0.0151808  ,	3.33435  ,	0.0235759  ,	-179.655
14.4,	57.6  ,	-31.6163  ,	-2.41748  ,	-2.41226  ,	0.0146078  ,	-0.69855  ,	0.0223411  ,	174.965
21.6,	57.6  ,	-30.3491  ,	-3.33557  ,	-3.32694  ,	0.0136323  ,	-8.40358  ,	0.0197828  ,	166.13
28.8,	57.6  ,	-30.4448  ,	-4.89152  ,	-4.87944  ,	0.0122584  ,	-19.4956  ,	0.01592  ,	154.255
36,	57.6  ,	-31.8787  ,	-7.30655  ,	-7.29143  ,	0.0105332  ,	-33.6388  ,	0.0109875  ,	139.594
43.2,	57.6  ,	-34.8257  ,	-10.7902  ,	-10.7731  ,	0.00855315  ,	-50.5191  ,	0.00554666  ,	121.6
50.4,	57.6  ,	-40.2057  ,	-14.717  ,	-14.7047  ,	0.00645839  ,	-69.9579  ,	0.000563997  ,	72.3353
57.6,	57.6  ,	-49.0769  ,	-16.2196  ,	-16.2174  ,	0.00441883  ,	-92.224  ,	0.00318453  ,	-89.4753
64.8,	57.6  ,	-56.5666  ,	-16.6522  ,	-16.6518  ,	0.0026257  ,	-119.179  ,	0.00446645  ,	-117.855
72,	57.6  ,	-50.3442  ,	-20.0793  ,	-20.0753  ,	0.00132218  ,	-158.815  ,	0.00323351  ,	-163.834
79.2,	57.6  ,	-34.6303  ,	-18.7955  ,	-18.6836  ,	0.000854323  ,	140.376  ,	0.00401044  ,	89.7943
86.4,	57.6  ,	-31.9  ,	-10.582  ,	-10.55  ,	0.000938814  ,	113.242  ,	0.0104172  ,	40.6711
93.6,	57.6  ,	-28.5248  ,	-5.76446  ,	-5.74152  ,	0.00149422  ,	130.509  ,	0.0181328  ,	12.6941
100.8,	57.6  ,	-25.5516  ,	-2.98647  ,	-2.96248  ,	0.00347855  ,	136.829  ,	0.0248118  ,	-10.6008
108,	57.6  ,	-23.5128  ,	-1.66447  ,	-1.63619  ,	0.00718185  ,	128.572  ,	0.0282903  ,	-31.7508
115.2,	57.6  ,	-22.8324  ,	-1.56378  ,	-1.53148  ,	0.0127404  ,	116.013  ,	0.0266532  ,	-51.2527
122.4,	57.6  ,	-24.7203  ,	-2.19048  ,	-2.1663  ,	0.0201862  ,	102.528  ,	0.0186158  ,	-68.8964
129.6,	57.6  ,	-33.1279  ,	-1.52858  ,	-1.52557  ,	0.0293036  ,	89.3379  ,	0.00389846  ,	-79.0617
136.8,	57.6  ,	-41.7205  ,	1.72422  ,	1.72441  ,	0.0395776  ,	77.0497  ,	0.0167505  ,	75.976
144,	57.6  ,	-30.1333  ,	5.31742  ,	5.31866  ,	0.0502394  ,	66.0559  ,	0.04125  ,	64.0836
151.2,	57.6  ,	-22.9263  ,	8.15673  ,	8.16012  ,	0.0603885  ,	56.6556  ,	0.0669485  ,	53.4405
158.4,	57.6  ,	-18.7932  ,	10.2058  ,	10.2112  ,	0.0691455  ,	49.0924  ,	0.0908561  ,	44.875
165.6,	57.6  ,	-16.3488  ,	11.5781  ,	11.5851  ,	0.0757789  ,	43.5651  ,	0.110201  ,	38.6401
172.8,	57.6  ,	-15.0358  ,	12.365  ,	12.3729  ,	0.0797751  ,	40.2283  ,	0.122801  ,	34.8807
180,	57.6  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.080854  ,	39.1884  ,	0.127274  ,	33.6805
187.2,	57.6  ,	-14.9603  ,	12.3549  ,	12.363  ,	0.0789589  ,	40.4974  ,	0.123129  ,	35.0679
194.4,	57.6  ,	-16.0973  ,	11.5531  ,	11.5606  ,	0.0742495  ,	44.1487  ,	0.110783  ,	39.016
201.6,	57.6  ,	-18.1215  ,	10.1547  ,	10.1612  ,	0.0671053  ,	50.0744  ,	0.0915606  ,	45.4419
208.8,	57.6  ,	-21.3004  ,	8.05866  ,	8.06369  ,	0.0581212  ,	58.1449  ,	0.0676188  ,	54.2004
216,	57.6  ,	-26.2077  ,	5.13427  ,	5.13746  ,	0.0480672  ,	68.1698  ,	0.0417424  ,	65.0346
223.2,	57.6  ,	-33.326  ,	1.40457  ,	1.40603  ,	0.0377948  ,	79.8951  ,	0.0169695  ,	77.0822
230.4,	57.6  ,	-34.379  ,	-1.88077  ,	-1.87833  ,	0.0281037  ,	92.9955  ,	0.00398779  ,	-77.192
237.6,	57.6  ,	-27.9885  ,	-2.23447  ,	-2.22294  ,	0.0196116  ,	107.046  ,	0.0189643  ,	-67.048
244.8,	57.6  ,	-25.3418  ,	-1.41846  ,	-1.4009  ,	0.012675  ,	121.424  ,	0.0271789  ,	-49.0495
252,	57.6  ,	-24.9802  ,	-1.46922  ,	-1.44991  ,	0.00739273  ,	134.946  ,	0.0288895  ,	-28.9906
259.2,	57.6  ,	-25.9949  ,	-2.77721  ,	-2.75656  ,	0.00369287  ,	144.254  ,	0.0253884  ,	-6.90362
266.4,	57.6  ,	-28.286  ,	-5.53233  ,	-5.50935  ,	0.00153009  ,	135.61  ,	0.0186243  ,	18.2051
273.6,	57.6  ,	-32.781  ,	-10.1919  ,	-10.168  ,	0.00107465  ,	99.5344  ,	0.0108767  ,	50.5609
280.8,	57.6  ,	-53.7106  ,	-16.5633  ,	-16.5625  ,	0.00116714  ,	106.985  ,	0.00510286  ,	110.648
288,	57.6  ,	-34.0074  ,	-16.1515  ,	-16.081  ,	0.00119719  ,	159.1  ,	0.00540194  ,	-164.304
295.2,	57.6  ,	-34.1118  ,	-13.695  ,	-13.6557  ,	0.00213673  ,	-141.552  ,	0.00699613  ,	-121.79
302.4,	57.6  ,	-32.6784  ,	-13.5711  ,	-13.518  ,	0.00400129  ,	-107.064  ,	0.00626296  ,	-93.1005
309.6,	57.6  ,	-31.4106  ,	-14.0445  ,	-13.9656  ,	0.00629033  ,	-82.9181  ,	0.00320287  ,	-63.7166
316.8,	57.6  ,	-34.8144  ,	-12.0502  ,	-12.0273  ,	0.00864104  ,	-62.9795  ,	0.00178558  ,	95.6052
324,	57.6  ,	-44.2959  ,	-8.75985  ,	-8.75863  ,	0.0107763  ,	-45.5939  ,	0.00700904  ,	132.31
331.2,	57.6  ,	-57.9044  ,	-6.09883  ,	-6.0988  ,	0.0125242  ,	-30.3849  ,	0.0121668  ,	149.91
338.4,	57.6  ,	-48.1859  ,	-4.24979  ,	-4.24961  ,	0.0138269  ,	-17.4665  ,	0.0165993  ,	163.274
345.6,	57.6  ,	-52.6234  ,	-3.03439  ,	-3.03435  ,	0.0147076  ,	-7.20294  ,	0.0200278  ,	173.195
352.8,	57.6  ,	-51.1812  ,	-2.29891  ,	-2.29885  ,	0.0152141  ,	-0.0615465  ,	0.0223583  ,	179.495
0,	61.2  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.0138652  ,	3.70889  ,	0.0244752  ,	-178.027
7.2,	61.2  ,	-34.7397  ,	-1.99551  ,	-1.9932  ,	0.0136495  ,	3.62306  ,	0.0244618  ,	-179.481
14.4,	61.2  ,	-31.8946  ,	-2.45197  ,	-2.44704  ,	0.0130904  ,	-0.2631  ,	0.0231402  ,	175.229
21.6,	61.2  ,	-30.5389  ,	-3.41884  ,	-3.41042  ,	0.0121765  ,	-7.80236  ,	0.0204436  ,	166.458
28.8,	61.2  ,	-30.4495  ,	-5.06124  ,	-5.0487  ,	0.0109214  ,	-18.7164  ,	0.0164014  ,	154.609
36,	61.2  ,	-31.5508  ,	-7.63698  ,	-7.61938  ,	0.00937389  ,	-32.6604  ,	0.0112673  ,	139.923
43.2,	61.2  ,	-33.9955  ,	-11.4339  ,	-11.4099  ,	0.00761942  ,	-49.2896  ,	0.00562975  ,	121.798
50.4,	61.2  ,	-39.653  ,	-15.6937  ,	-15.6763  ,	0.00577417  ,	-68.3716  ,	0.000512754  ,	65.8531
57.6,	61.2  ,	-60.2067  ,	-16.6116  ,	-16.6114  ,	0.00397658  ,	-90.0975  ,	0.00335875  ,	-89.3292
