Theta,	Phi,	Horizontal Power Gain,	Vertical Power Gain,	Total Power Gain,	etheta_magnitude,	etheta_phase,	ephi_magnitude,	ephi_phase
115.2,	3.6  ,	-21.372  ,	-3.46872  ,	-3.3989  ,	0.0236263  ,	130.793  ,	0.00308353  ,	-126.681
122.4,	3.6  ,	-22.918  ,	0.477559  ,	0.497385  ,	0.0372244  ,	112.049  ,	0.00259187  ,	-144.3
129.6,	3.6  ,	-27.0247  ,	3.65095  ,	3.65467  ,	0.0536482  ,	94.9991  ,	0.00157505  ,	-170.216
136.8,	3.6  ,	-43.3956  ,	6.21971  ,	6.21975  ,	0.0721051  ,	79.7963  ,	0.000861504  ,	95.8593
144,	3.6  ,	-28.4835  ,	8.27897  ,	8.27988  ,	0.0913751  ,	66.601  ,	0.00259626  ,	35.8553
151.2,	3.6  ,	-21.5889  ,	9.89084  ,	9.89392  ,	0.109969  ,	55.5665  ,	0.00491894  ,	18.9115
158.4,	3.6  ,	-18.0873  ,	11.1007  ,	11.1059  ,	0.126355  ,	46.8306  ,	0.00724787  ,	9.48834
165.6,	3.6  ,	-16.0698  ,	11.9432  ,	11.9501  ,	0.139172  ,	40.5093  ,	0.00927737  ,	3.78108
172.8,	3.6  ,	-14.9851  ,	12.4441  ,	12.4519  ,	0.147383  ,	36.6888  ,	0.0107666  ,	0.953961
180,	3.6  ,	-14.6064  ,	12.6188  ,	12.627  ,	0.150342  ,	35.4192  ,	0.0115545  ,	0.76637
187.2,	3.6  ,	-14.842  ,	12.4719  ,	12.48  ,	0.147803  ,	36.7095  ,	0.01157  ,	3.15636
194.4,	3.6  ,	-15.6885  ,	11.9965  ,	12.0039  ,	0.139928  ,	40.5261  ,	0.01083  ,	8.13785
201.6,	3.6  ,	-17.2288  ,	11.1738  ,	11.1801  ,	0.127299  ,	46.7948  ,	0.00943092  ,	15.7909
208.8,	3.6  ,	-19.6758  ,	9.97486  ,	9.97956  ,	0.110914  ,	55.407  ,	0.00753941  ,	26.3281
216,	3.6  ,	-23.5393  ,	8.36057  ,	8.36337  ,	0.092138  ,	66.2286  ,	0.0053792  ,	40.3515
223.2,	3.6  ,	-30.4905  ,	6.28093  ,	6.28184  ,	0.0725563  ,	79.1098  ,	0.00321569  ,	59.9754
230.4,	3.6  ,	-53.7768  ,	3.66974  ,	3.66974  ,	0.0537468  ,	93.8966  ,	0.00138352  ,	96.8864
237.6,	3.6  ,	-31.724  ,	0.430574  ,	0.433217  ,	0.0370286  ,	110.446  ,	0.000914269  ,	-161.552
244.8,	3.6  ,	-27.9983  ,	-3.59716  ,	-3.58142  ,	0.0232709  ,	128.65  ,	0.00167664  ,	-108.229
252,	3.6  ,	-27.242  ,	-8.72209  ,	-8.66145  ,	0.0128266  ,	148.491  ,	0.00211519  ,	-78.2588
259.2,	3.6  ,	-28.4941  ,	-15.5985  ,	-15.3811  ,	0.00560286  ,	170.212  ,	0.00213897  ,	-50.0892
266.4,	3.6  ,	-35.3376  ,	-24.1961  ,	-23.8744  ,	0.00122171  ,	-164.436  ,	0.00189627  ,	-18.8766
273.6,	3.6  ,	-42.3034  ,	-25.9343  ,	-25.8353  ,	0.000821724  ,	39.7468  ,	0.00160136  ,	18.3069
280.8,	3.6  ,	-38.5162  ,	-25.8097  ,	-25.5829  ,	0.00114936  ,	87.5222  ,	0.00145341  ,	60.6678
288,	3.6  ,	-28.1847  ,	-26.4033  ,	-24.193  ,	0.00157801  ,	179.683  ,	0.00149611  ,	100.952
295.2,	3.6  ,	-26.9085  ,	-18.877  ,	-18.2424  ,	0.00400321  ,	-127.937  ,	0.00160805  ,	134.333
302.4,	3.6  ,	-26.5592  ,	-13.4146  ,	-13.209  ,	0.00751623  ,	-99.1727  ,	0.00167763  ,	161.838
309.6,	3.6  ,	-26.5793  ,	-9.71345  ,	-9.62498  ,	0.0115145  ,	-76.8475  ,	0.00166868  ,	-174.839
316.8,	3.6  ,	-26.9988  ,	-7.11208  ,	-7.06773  ,	0.0155369  ,	-57.6716  ,	0.00158891  ,	-155.425
324,	3.6  ,	-27.8193  ,	-5.27095  ,	-5.24686  ,	0.0192054  ,	-40.8531  ,	0.00145545  ,	-141.052
331.2,	3.6  ,	-29.1743  ,	-3.9815  ,	-3.96838  ,	0.0222776  ,	-26.3108  ,	0.00128605  ,	-133.942
338.4,	3.6  ,	-31.4719  ,	-3.09611  ,	-3.0898  ,	0.0246645  ,	-14.2852  ,	0.00111946  ,	-137.092
345.6,	3.6  ,	-35.8528  ,	-2.5067  ,	-2.50469  ,	0.0263897  ,	-5.19399  ,	0.00104422  ,	-152.219
352.8,	3.6  ,	-49.4235  ,	-2.14053  ,	-2.14045  ,	0.027517  ,	0.498381  ,	0.00116047  ,	-173.607
0,	7.2  ,	-39.6831  ,	-1.95762  ,	-1.95689  ,	0.027948  ,	2.47914  ,	0.00319222  ,	175.863
7.2,	7.2  ,	-32.6758  ,	-1.94006  ,	-1.9364  ,	0.0279799  ,	0.652173  ,	0.00348473  ,	166.96
14.4,	7.2  ,	-29.6511  ,	-2.11158  ,	-2.10393  ,	0.027414  ,	-4.91761  ,	0.00366207  ,	156.462
